Age Group,Gender,Occupation,Residence,Used Chatbot Before,Customer Service Preference,Frequency of Chatbot Use,Chatbot Experience Rating,Primary Chatbot Usage,Satisfaction with Personalization,Last Chatbot Usage Purpose,Industry of Last Chatbot Interaction,Chatbot Issue Resolution,Transition to Human Agent,Best Query Type for Chatbots,EU1,EU2,EU3,EU4,RS1,RS2,RS3,RS4,ARI4,PCA1,PCA2,PCA3,PCA4,CSI1,CSI2,CSI3,CSI4,PSE1,PSE2,PSE3,PSE4,CR2,CR3,CR4,TS1,TS3,IHS1,IHS2,IHS3,IHS4
18–24 years,Female,Student,Urban area,"Yes, occasionally",Live Chat with Human Agent,Weekly,Worse than human agents,Billing or account management,Neutral/Unsure,Billing or account management assistance,"Travel/Hospitality (e.g., booking assistance)",Completely resolved my issue,"Poor, I had to repeat all information","None, I prefer human agents",4,1,5,5,2,2,2,3,4,3,3,4,2,3,3,3,4,2,4,4,1,4,2,1,5,5,5,3,1,4
18–24 years,Male,Student,Urban area,"Yes, frequently",Human Agent via Phone/Email,Daily,I haven't interacted with chatbots,Complaint resolution,Dissatisfied,Other,"Banking/Finance (e.g., PayPal)",Partially resolved but needed human support later,Smooth but required minimal clarification from me,Billing/account-related issues,4,2,5,4,5,5,4,5,1,2,1,3,3,3,5,3,3,4,2,5,1,5,4,2,1,5,4,4,4,1
18–24 years,Male,Student,Rural area,"No, but I plan to try it",Human Agent via Phone/Email,Daily,I haven't interacted with chatbots,Billing or account management,Neutral/Unsure,Complaint resolution or feedback submission,"Travel/Hospitality (e.g., booking assistance)",Completely resolved my issue,"Neutral, I had to repeat some information","None, I prefer human agents",4,5,3,2,4,4,4,4,3,4,3,1,2,1,4,3,4,5,2,3,4,2,1,3,2,5,5,4,5,5
18–24 years,Female,Student,Urban area,"Yes, occasionally",Other,Daily,Worse than human agents,Complaint resolution,Very satisfied,Product inquiry or recommendation,"E-commerce (e.g., Amazon)",Did not resolve but escalated smoothly to a human agent,Smooth but required minimal clarification from me,"Simple inquiries (e.g., FAQs)",5,5,1,4,3,2,2,3,5,3,4,4,3,5,5,3,3,3,3,1,4,4,1,3,5,2,2,3,5,2
18–24 years,Female,Student,Urban area,"Yes, occasionally",Other,Daily,I haven't interacted with chatbots,Complaint resolution,Somewhat satisfied,Complaint resolution or feedback submission,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,"Poor, I had to repeat all information","None, I prefer human agents",5,3,2,1,4,4,1,4,2,4,2,4,3,5,2,3,2,5,5,3,4,5,4,4,2,1,5,5,4,3
18–24 years,Female,Student,Rural area,"No, and I don't plan to use it",Other,Daily,I haven't interacted with chatbots,Technical support,Neutral/Unsure,Product inquiry or recommendation,"Travel/Hospitality (e.g., booking assistance)",Did not resolve or escalate properly,Smooth but required minimal clarification from me,"None, I prefer human agents",4,1,2,4,1,2,4,4,4,2,4,2,3,4,4,5,4,4,1,3,3,2,5,3,5,4,4,4,4,3
18–24 years,Female,Student,Urban area,"Yes, frequently",Chatbot,Rarely,Better than human agents,Technical support,Dissatisfied,Complaint resolution or feedback submission,"E-commerce (e.g., Amazon)",Partially resolved but needed human support later,Very smooth and efficient,Billing/account-related issues,3,1,5,3,5,5,5,3,3,5,3,2,4,5,4,4,1,4,5,2,4,5,4,4,4,3,3,5,5,5
25–34 years,Male,Professional/Employee,Urban area,"Yes, frequently",Other,Rarely,Equal to human agents,Technical support,Somewhat satisfied,Other,"Healthcare (e.g., appointment scheduling)",Did not resolve but escalated smoothly to a human agent,"Neutral, I had to repeat some information","None, I prefer human agents",4,3,4,3,2,5,5,5,3,1,3,4,3,5,3,5,3,5,2,3,4,2,2,5,4,1,3,3,4,3
18–24 years,Male,Student,Urban area,"Yes, occasionally",Chatbot,Weekly,Equal to human agents,General inquiries,Neutral/Unsure,Complaint resolution or feedback submission,"Travel/Hospitality (e.g., booking assistance)",Partially resolved but needed human support later,Smooth but required minimal clarification from me,"None, I prefer human agents",2,5,4,4,4,3,4,1,4,2,2,3,1,1,3,5,2,1,4,5,3,3,4,1,5,5,3,1,5,4
18–24 years,Female,Student,Urban area,"No, but I plan to try it",Human Agent via Phone/Email,Daily,I haven't interacted with chatbots,Technical support,Dissatisfied,Billing or account management assistance,"Travel/Hospitality (e.g., booking assistance)",Did not resolve or escalate properly,"Poor, I had to repeat all information",Billing/account-related issues,4,2,5,5,4,5,4,2,3,2,3,1,4,3,4,3,4,3,3,3,4,3,5,1,3,5,4,3,4,4
